12-31 	11388	0	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机[胜利]	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机	
12-30 	15263	0	买股不做研究，必亏无疑！2017年的展望： 确定的有以下： 1、通胀 是肯定的、	买股不做研究，必亏无疑！2017年的展望：确定的有以下：1、通胀 是肯定的、低利率是肯定的、市场探低回升也是肯定。2、三、四线房市去库存和一、二线城市抑泡沫也是肯定。3、基建投资高增长、水泥、钢铁、煤、铝等大宗商品去库存见成效也是肯定。黄金牛市到来也是肯定的。4、中国股市在抑郁中前行也是肯定的。不确定因素：1、欧元区解体，2、中美俄冷战，3、太平洋板块地震引发东南亚海啸，4、南海战争，5、朝鲜战争，6、东南亚经融危机，7，美国内战，8、解放台湾，9、中国金融危机。综上：肯定因素是必发生的，不确定因素除自然灾害发生概率几乎为零。中国在环保和减灾方面的投入都是肯定的。所以本人乐观认为2017年是盘旋上升的年度。国内外都好，一片繁荣景象！图片中的股票，适合所有低风险理财，将跑赢一切活期、定期、债券（国债）等固定理财。	
12-30 	11773	0	肖刚	肖刚的胡来险些毁了中国股市	
12-30 	30306	1	据说，农业银行股价过低，数十亿美元	据说，农业银行股价过低，数十亿美元，可以产生数十万亿美元的奴隶效应。	这是人玩人世界，各凭本事生存。 
12-30 	10249	0	振兴中国股票市场之策	1. 国有股转优先股2. 用滚存利润回购注销本公司的股票3. 提高分红比例4. 减税5. 规范+监管6. T+0 在股份制日益发展的今天，可以说，股票市场是国家经济运转的最为重要的一环。按中医理论，壮阳先滋阴，阴虚就会导致阳衰。所以，要搞好国家经济，一定要振兴股票市场。既然我们来到了这里，就按这里的办。到什么山上唱什么歌，你说是不是。	
12-30 	12494	0	不可能事情你们一定要坚持，吃定农业银行！	一辈子就熬着吧！不挣钱我们永远不罢休！记住！无论你们是谁！	
12-30 	10875	0	给二金唱首红高粱，鼓鼓胆气，走起来	妹妹你大胆地往前走啊，往前走，莫回呀头，通天地大路，九千九百，九千九百九十九啊。	
12-30 	10325	1	军工股票002560今日低点补仓成功朋友未来几日一定有好的收成	军工股票002560今日低点补仓成功朋友未来几日一定有好的收成	可能要套起吧 
12-30 	10723	0	基金为了拿奖金，将做市值拉升蓝筹银行股股价	注意：今天2016年最后一个交易日，基金为了拿奖金，将做市值，拉升蓝筹股、银行股股价！	
12-30 	9414	0	★★收官之战送涨停牛股+盘面分析+操作技巧你有关注吗？	昨天早盘分享的600353旭光股份强势拉升；300058蓝色光标也已涨停！你有关注吗？今天个股推荐：600069银鸽投资 300465高伟达最近大盘震荡探底，形成温水煮青蛙的格局，整体来看由于新股滥发和年尾市场资金不足，导致大盘继续下跌趋势保持。股票的大幅上扬是从底部开始的，所谓底部当有一个筑底过程，筑底的目的是调整均线或者叫清洗筹码，只有当市场上对该股的抛盘达到了极微的程度，或者因为消息导致市场人士对股市绝望逃命，而又有新生力量介入的时候底部才有可能形成，因此从图表看，一种形态为窄幅缩量，另一种形态则是巨量下跌，底部形成放可产生强大的上升行情。实战中本人总结七种底部形态：第一种是“平台底”，第二种是“海底月”，第三种是“阳夹阴”，第四种是“均线星”，第五种是“探底线”，第六种是“三红兵”、第七种是“长尾线”。股票的底部一般三天形成，根据形态划分，不管任何形态都需和均线系统成交量配合而论，均线处于粘合或者短期均线在中长期均线下方可谓底部，而成交量没有一个递减缩小的过程或者没有一个放量急剧下跌的过程就谈不上底部，底部突破往往是由消息引起的，但它是通过时间和形态构造出来的，下面就分头来论述底部的七大形态。一、平台底：股价在5日均线附近连续平盘三天，迫使5日线和10日均线形成金叉或者5日线上翘、10日均线下移速率变慢，具体的要求是三天中第一天收小阴线，第二天收小阳或小阴，第三天收小阳，整体看三根K线是平移的。二、海底月：它的具体要求是第一天收中阴线或者大阴线，第二、第三天收上升形态的小阳或十字星，并且三天中有成交量放大趋势的迹象。大阴线好比是一只大船沉入海底，但在底部受到强大的支撑，并有超过其下跌的能量维持它的上升，因此假如说均线系统是往上的，中线指标看好，没有理由认为该大阴线是行情的中止，应该考虑这是主力刻意打压造成的，因此出现这种情况可以认为是新一轮行情的旭日东升。三、阳夹阴：即二根阳线中间夹一根阴线，意思是说第一天股票上扬受到抑制，第二天被迫调整，但第三天新生力量又重新介入，因此这种上升就比较可靠，后市向好的机会多。四、均线星：在底部均线系统刚修复往上的时候，往往会在均线附近收一个阴或者阳十字星，这是多空力量平衡的一种表示，但发生在底部，第二天极容易出现反弹或者往上突破，这是一种不引人注目的形态。五、三红兵：在均线附近或者下方连续出现三根低开高收的小阳线，并且量有逐步放大的趋势，预示着有小规模的资金在逢底吸纳，后市将看好。六、探底线：当天开盘低开在均线的下方，而收盘在均线的上方，这是主力为了进一步做行情而刻意做出来，按照惯性原理后市理应看涨。七、长尾线：当天开盘之后，股市出现放量下跌，但之后莫名其妙被多头主力拉升，留下了一个长长的下影线，这是做反弹资金介入的信号，只要第二天重拾上升路，上升空间就很明显。底部是由形态构造的，但成交量起了一个关键性的作用，无论是缩量也好、放量也好，都必须要有个规律，比如说逐波缩量、温和放量这都是一种向好量变过程，但假如说有放量不规则、或者说上去的时候成交量很大但没有涨多少，无论任何形态都有成为下跌换档的可能。比如说97年基金的疯跌。本周还有今天1个交易日，多空僵持市场观望情绪加重，但仍不影响既定策略：1、结构：沪指二次探底分时V型尖底为不饱和结构，后市再做回踩不破，才做日线级别买点。浅破也不担心，仅是重新探底来过而已。2、空间：沪指3068点视作市场止跌底或底部区域，虽还不能确定为最终点位，但曙光已现，持续缩量震荡，均视作底部反复。3、时间：12月27日时间窗口未再次破低，继续观察沪指能否突破3143点，本周如站上，元旦后有望企稳回升，如未站上后市留些许隐患。4、量能：已连续缩量低于4000亿，让多空均无从下手，但量能越缩量越利于多方囤积势力，为明年开年打基础。结论：后市有望形成结构、空间、时间、量能共振机会，机会大于风险。今日上证支撑3084点，压力3143点。操作策略基本不变，激进者关注底部放量个股，沪指若冲击压力，可高抛适当仓位，保持高抛低吸滚动策略。稳健者虽然继续谨慎，但对个股可谨慎偏乐观。选股方面，政策为主线，国改、混改为主；消息驱动为辅线，新科技、新产业为主。股市，一个神奇而又令人望而生畏的地方，错落有致的红绿相间埋葬了多少人的梦想，诡异翻腾的汹涌波浪也成就了多少人的辉煌。对于把握主动与庄共舞的人来说，股市就是陶金石，就是取款机；对于随波逐流任庄摆布的人来说，股市就是一个十足的赌场。会玩的叫投资，不会玩的叫消费，股市不是赌场，如果你做不到，那你就选择依托强者生存聪明的人懂得在自己不擅长的领域先向别人学习，你如果在股市收益一直不理想，甚至已经被套，那么你应该试着和我聊一下，反正不会有损失，却有可能会使你以后在股市盈利，股海无涯，学无止境。不经历风雨永远见不到彩虹！没有胆识，一味只会观望不敢入场的懦夫永远得不到市场的馈赠!还在犹豫什么，心动不如行动!2016年仅剩下1个交易日，在这里，我只希望大家能够投资顺利！最后，元旦将至，提前祝大家元旦快乐！谢谢阅读!	
12-30 	11561	0	机构给养老金准备了廉价大乌龟农业银行，快抢购。	机构给养老金准备了廉价大乌龟农业银行，快抢购。	
12-29 	11966	0	18.5亿主力资金强势进入，两大概念重点炒作，有望飙涨（附股）	大盘跌跌不休！对股民来讲，最重要的两个字是，活着。熬过熊市的慢慢长夜，活到牛市到来那一天，万里长征，刚刚开始，你有勇气走下去吗？炒股最怕什么？1、买不到好股；2、买到好股拿不住；3、拿住了不知道什么时候卖！天天都去看技术分析，去预测大盘每日的涨跌。有用吗？每天下班回家，还不忘拿出手机看看，全国乃至全球有什么大事，看看对股市有什么影响。有用吗？而现在，我想各位朋友最需要的就是一个信心。信心从哪里来？我把我们今日的战绩发上来，给大家看一看。【\*ST黑豹】今日迎来第13个涨停板啦！翻倍收益说来就来，你赚到了没？在我们圈里的朋友应该都知道，当初我们强势介入\*ST黑豹，在跌停板附近多次加仓！信任创造价值！当初坚定跟着我们布局的朋友，都获利满满！【\*ST黑豹】今日迎来第13个涨停板啦！翻倍收益说来就来，你赚到了没？在我们圈里朋友应该都知道，当初我们强势介入\*ST黑豹，在跌停板附近多次加仓！信任创造价值！当初坚定跟着我们布局的朋友，都获利满满！（欲了解【天兴仪表】后市操作策略的朋友们，私聊即可！）新来的朋友也不要着急，错过了【\*ST黑豹】、【天兴仪表】之前的涨停也没关系，现在再给你一次涨停板机会，你要还是不要？我们每天都有一次送股机会，开盘前免费推荐3只暴涨牛股等你拿！（周五已备好领取）我们现在要做的就是，趁着节前最后一个交易日，提前布局2017股市，多捉几只妖股！2017年来一只【ST黑豹】就够了！那么在A股市场里，除去打新中奖之外，哪里的妖股比较多呢？不用想，肯定是并购重组那么，并购重组是怎么产生的呢。这也就是今天要跟大家谈的，正所谓，不知牛跑，如何擒牛？而重组，不是一个简单的事情。综合前面的几点指标，我们进行全面梳理，通过多空趋势变化、资金净额变化、资金流向分析后，再经过精选，最终选出了1支有望远超四川双马560%的大牛股！该股到底牛在哪里？亮点一：云计算龙头：公司是国内领先的综合性行业应用软件、计算机信息系统集成、服务的提供商，与阿里巴巴合作、全面布局“云计算”、“互联网”、“大数据”、“物联网”等前瞻性行业亮点二：18.5亿资产重组：为了加快云计算领域发展，公司拟资产重组18.5亿元收购群立世纪等三家公司100%股权亮点三：高送转10送20预期：公司每股公积金1.49元、每股未分配利润2.48元。可送转股本3.97元，具有年报高送转10送20预期；亮点四：股权转让：公司前些天转让部分股权，交易对价16.52亿，新进股东实力雄厚。有广阔的海外资源，公司有望借助新进股东的海外平台，打入国际市场，并打造成云计算领域国际巨头前期充分调整,风险充分释放,成交量大幅放量伴随图形有效突破!42.3%的预期涨幅还只是个开胃菜而已！还在等什么?错过了四川双马、英力特的朋友，千万不要再错过它！另外，还有几只“股权转让+资产重组”的好票票，就在我们的“股票池”里，等你来领哦。提醒：当然，如果有朋友是持股被套急需解套、想介入某只股票无法判断行情、把握不好买卖点的，这种问题都可以免费咨询——把握投资心态——实盘指导买卖，推荐给大家做参考1、赚钱了不要过于沾沾自喜，赔钱了也不要过于垂头丧气。时刻保持心态平衡，对自己的交易持职业化的观点。2、不要认定交易中一定会这样或者那样。你所要寻求的是对事实的深思熟虑，而不是盲目猜测。	
12-29 	16734	0	★★国务院又有大动作，这些板块将会受益！！！	今天三大股指均出现低开，随后指数开启弱势震荡的模式，上证指数跌破3100点并在半年线附近震荡盘整，后在钢铁、有色等板块的拉动下成功翻红。午后市场呈现震荡下行的态势，沪指在3100点附近打起争夺战，临近收盘空头再度发力，沪指再次跌破3100点，收跌0.2%。之前就曾说过近期A股的关键是量，今天沪指成交量继续缩减，表现出节前的资金不足。概念方面，今天领涨的是西安自贸区，涨幅1.78%，西安旅游等相关个股表现较好。紧随其后的是特钢和黄金，涨幅都在0.5%以上，个股普遍上涨。今天又是千股横盘，再现地量，尾盘甚至还小幅跳水了，这仿佛回到了今年中秋到国庆的那段时间，市场几乎没有热点。现在是处于底部阶段，低吸持股待涨是最佳策略，3100点的支撑没那么容易破。不过当前消息面上存在两个需引起大家的注意：1、央行持续收紧，资金面告急。2、保监会下狠手，暂停华夏人寿、东吴人寿互联网保险业务。同时，保监会将对全部9家已报送万能险整改报告的公司，派驻检查组进行现场核查，根据核查情况采取进一步的监管措施。市场成交量的连续萎缩，确实也说明市场的杀跌动力趋减，成交量再度萎缩是不是市场见底标志，确实市场目前在政策底附近，下跌空间并不大。中期来看，期待春节前有一波不错的行情。操作上仍是以低吸持股待涨为主，不宜重仓，控制在6成以内。个股上，东方新星有点萎靡，可在39.7附近补仓，继续持股，急拉则获利出局。巨化股份抗跌明显，中线股也波动不大，急跌就低吸。明天可关注：中国铁建（601186）。今天，国务院新闻办公室发表的《中国交通运输发展》白皮书，指出十三五期间，我国要推动运输服务绿色智能发展。推进交通运输绿色发展，集约节约利用资源，加强标准化、低碳化、现代化运输装备和节能环保运输工具推广应用。今天的交通运输发展白皮书核心很明确，就是要推动我国交通运输业绿色智能发展。交通运输业节能减排是我们发展绿色经济的一条主路线，想要实现绿色发展，主要包含两个方面：第一，加大新能源汽车的研发和应用，这是实现交通运输业绿色发展的根本途径，也是未来的大势所趋。另一方面，实施“互联网+交通运输”行动计划，这是实现交通运输业绿色发展的重要途径。交通运输业是非常重要的传统行业，是经济运行和国民生活必不可少的行业，也是值得我们重视的一个行业。交通运输业绿色发展是长期以来的话题，但是短期要想实现质的飞跃，还很难！我们更关注的是以上两个方面的政策机会，新能源汽车的研发和运用，以及“互联网+交通运输“的深入推行，是我们关注交运板块的重点。炒股。技术是基础，心态则是决胜关键，二者相辅相成，缺一不可，可说是同等重要，是共生关系，就象左手和右手，你能只要一只吗？心态好，能充分发挥出技术水平，甚至超常发挥，但是掌握一定技术则是前题，炒股毕竟不是唯心主义，如果技术不高，甚至不学技术，即使有良好的心态，那也只是空中楼阁，海市蜃楼，最终免不了亏损。我入市这些年以来，同样经历过大量亏损带来的惨痛代价，从曾经的“熊市被套，牛市踏空”，再到现在的“牛熊无畏，稳稳盈利”近10年来积累的实战方法和无数经验，不夸张的说已是资深的实战派，愿和大家一起分享！	
12-29 	18085	1	农行如跌至3元股息率并增加不了多少，甚至2.8元也就5.3%若2.5元也就6%，	农行如跌至3元股息率并增加不了多少，甚至2.8元也就5.3%若2.5元也就6%，那股息根本补不了亏空，去年今年低点2.54及2.68目前风险仍然很大	到了3元老子把其它理财产品全部买了，全部买农业银行 
12-29 	9885	0	有种把托单全撤了 反正赔那么多了 砸下来多买点	有种把托单全撤了 反正赔那么多了 砸下来多买点 有种把托单全撤了 反正赔那么多了 砸下来多买点	
12-29 	11014	0	大家坚持主，银行股普涨，农民明显有人故意打压	大家坚持主，银行股普涨，农民明显有人故意打压	
12-29 	9610	0	要卖的赶紧，再给你们15分钟，明天3.09卖不了了。	要卖的赶紧，再给你们15分钟，明天3.09卖不了了。	
12-29 	10512	0	今天护盘，盼爹的就熄火八二。下个月是银行股的天下。	今天护盘，盼爹的就熄火八二。下个月是银行股的天下。	
12-29 	9943	0	正在酝酿一场暴风骤雨，没进货的抓紧了，不然后悔死了！	正在酝酿一场暴风骤雨，没进货的抓紧了，不然后悔死了！	
12-29 	9582	0	真看不懂，换手率0.04，成交额怎么也有3亿多呢，难道是左手倒右手？	真看不懂，换手率0.04，成交额怎么也有3亿多呢，难道是左手倒右手？	
12-29 	8766	0	95%筹码在前十大股东手里，一个亿的交易额决定万亿市值的命运	95%筹码在前十大股东手里，一个亿的交易额决定万亿市值的命运	
12-29 	8232	0	不知道今天3。09能否买上？挂了一天了！	不知道今天3。09能否买上？挂了一天了！	
12-29 	8075	0	昨天说挂09还说买不上，怎么样今天的09买的爽不爽	昨天说挂09还说买不上，怎么样今天的09买的爽不爽	
12-29 	8288	0	两节到了，提点钱过节、过年是应当的，	两节到了，提点钱过节、过年是应当的，但是也应当适度，这样A股才不会太跌！这对大家都有利！	
12-29 	7857	0	估计今天估计是爆跌啊，不是1分，很可能是2分3分。	估计今天估计是爆跌啊，不是1分，很可能是2分3分。	
12-29 	7874	0	长期持有相当于和国家一起开银行，短期涨跌又如何	长期持有相当于和国家一起开银行，短期涨跌又如何	
12-29 	7598	0	散户靠新股中签弥补亏损，机构靠割散户韭菜赚钱。	散户靠新股中签弥补亏损，机构靠割散户韭菜赚钱。	
12-29 	9298	0	下流无耻的农业银行！	下流无耻的农业银行！	
12-29 	8549	1	近期我发现了农行一个奇怪的现象，求解释	近期我发现了农行一个奇怪的现象，就是在买一和卖一的挂单中，出现了多数且连续的1100手挂单，请问各位大神，这是什么盘口语言？	是买一和卖一同时出现的 
12-29 	6861	0	AAAAA现在买入601288，两年内资产翻倍必须的。	AAAAA现在买入601288，两年内资产翻倍必须的。	
12-29 	7340	0	★震荡铸底等待长阳再起，股权转让题材金股布局进行中！	元旦前还有最后一个交易日，随着年末钱荒的加剧，保险资金被监管，债市跌停潮引发的撤资，本周单月最大解禁潮，种种消息使得各路资金年底开始不敢轻易进场，最终反应到技术上就是没有成交额，没有成交量，所以节前大盘以维稳3100点为主。近期市场大观从近期大盘走势来看，基本属于拉一天，震两天的格局运行中，近两日大盘缩量震荡，这不，今天在煤炭、有色、银行等权重板块的带动下，大盘再次震荡飘红，最终3100失而复得，收一颗小阳线实体。前面徐晴已经明确提到，由于权重股以及中小个股均处于底部区域运行，短线下行动力不足，那么指数继续深调的机率并不大，即使跌破3100点，也能快速收复平稳下来。 从周四盘面观察，供给侧改革的钢铁、煤炭等板块走强领涨市场，柘中股份无视打击，持续走妖。临近年末，大盘已经调整很长一段时间，很多个股底部随着大盘这波大浪也渐渐搁浅！随之而来的更是大家期待已久的年末红包行情：23号我讲的智光.电气4个交易日收益32个点，你把握到了吗？26号的柘中.股份截止目前4个交易日已经34个点，你抓住机会了 吗？昨天分享的神马.股份2个交易日17个点，你跟上了吗？相信以前看到我的文章前来拜访小徐的朋友们这些收益也早已牢牢锁入囊中！短线操作三大交易原则 第一，股票涨了，什么价格卖出都是对的！ 第二，5日线上方做多，跌破5日线，回避风险需果断！ 第三，买入股票后，获利了沒有卖出，跌到成本价时必须卖出，确保资金安全很重要！距离2016年结束仅剩下2个交易日了，股市也会给大家发个年终红包，不过至于你能不能分到手，或者分到多少，就只有靠自己去争取了。不过我接下来也会精选三只底部吸筹+黄金技术买点+主力资金关注年前红包股赠给有缘人！　　年终最后三只暴涨金股，希望你不要错过，心动不如行动更多的股票信息请咨询徐晴，说不定下一个幸运儿就是你了！！	
12-29 	6205	0	军工股票通达股份狗庄有气魄，果然一定杀跌到10.70块多	军工股票通达股份狗庄有气魄，果然一定杀跌到10.70块多。既然如此，那么明天再一下探，狗散可满仓追入，每股包赚人民	
12-29 	7840	0	出生上任1年帮中小创私企上市	出生上任1年帮中小创私企上市、IPO，一个私营企业猪疯狂减持获利60亿，减持理由：改善生活。股民呢？这出生上任1年帮助中小创私企上市，然后纵容它们减持。融资1500亿，创造利润100亿，减持3000亿市值。私底下有什么猫腻？	
12-29 	9326	0	今天只能玩一分钱了，我十点半买3.09到现在都没成交。	今天只能玩一分钱了，我十点半买3.09到现在都没成交。	
12-29 	8788	1	世界上最痛苦的事儿是买了农行这个一直不涨的破股。	世界上最痛苦的事儿是买了农行这个一直不涨的破股。	升沒有緣，跌就是第一。 
12-29 	7371	0	谁说老总要自杀？这是造谣！	老总没那个胆！老总只能被吓死！怎么能说老总要自杀呢？	
12-29 	11277	0	【这就是广大散户朋友亏损的原因】	丨专丨多少人输在心态上丨业丨一、死不认输、跟市场死嗑到底！丨团丨二、我的世界，只有股市！没有其他！丨队丨三、把希望放在国家、放在运气、放在我觉得上面！丨诚丨四、不要相信账户！不要迷恋浮盈浮亏！丨邀丨五、只抄底，跌得越厉害，买的越欢快！丨广丨六、无论牛熊，无论个股趋势如何，在其身上亏了！就要在这股票上赚回来！丨大丨多数人亏钱的原因丨股丨一、只做赚钱概率大的；丨民丨二、看赔率够不够；丨朋丨三、设止损，最多输5%；丨友丨四、每一次操盘都要有结果；丨合丨五、做的次数足够多。丨作丨散户不知道的炒股秘籍丨共丨第一，量入为出，留条后路。丨赢丨第二，十步之内，寻找芳草。丨跟丨第三，拒绝诱惑，长期持有。丨上丨第四，趋势投资，快乐为本。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！友情提示(投资需谨慎，股市中找到一个真正有实力的帮手莫过于发掘到巨大的宝藏！)　风险提示（股市有风险，本文仅个人观点，仅供您参考，不要当过成手中股票买卖的绝对依据，股市盘面变化难测，大家在实际操作的时候，要根据盘面的变化随机应变。）牛股分享，热点提前解析 .............................！　点开资料找到我赚钱更轻松！　　　祝大家好运！↓↓↓↓↓↓	
12-29 	9374	1	农行涨还是不涨随意，只要每年净资产垫高。	还怕你股价上不体现。最好的例子，中国银行净资产比农业银行高，业绩却比农业银行差。分红比农业银行少，但是股价照样会超过农行。	这里都是老手，机构再压盘都是徒劳的。价值投资就是遵循价值规律，机构能做的只是暂时的扭曲价值观，暂时的，仅此而已！ 
12-29 	9386	0	哪天没了上亿股的压盘，三五天农行就破四元。	哪天没了上亿股的压盘，三五天农行就破四元。	
12-29 	10051	0	学会和财政部同行，你就是将来的投资赢家！ 你看七年多前三大股东持股有多么坚决，分	学会和财政部同行，你就是将来的投资赢家！你看七年多前三大股东持股有多么坚决，分得了多少红利！(1)，16年3季度利润摆在那，(4.02)元。(2)，16年4季度利润，我们不用操心，到时就进帐上，这点谁也改变不了。(3)，还有两个交易日走完，我们就跨进17年大门，当过完‘’元旦‘’农行已赚钱3天，这也是谁也阻挡的赚钱机器天生财气。(4)，你要勇敢地受一切不法份子打击你心里防线，忍受住一切痛苦才能迎接春天的到来。(5)，大钱小钱准备停当，随时造它的老底，抱回家中装箱等分红。(6)，地道战里有句话叫，男女老少齐上阵，我们就来个，大钱小钱齐上阵。	
12-28 	9118	0	想买农行，打新股，农行这个价钱是不是有点高？	想买农行，打新股，农行这个价钱是不是有点高？	
12-28 	8692	0	农业银行难道只是为了到达这个位置上？	说起来也是意外，我22号按照陈勐喻大哥建仓的林海股份昨天也是一个涨停，相信都已经亲眼目睹这几日的表现，真是后悔当初进的太少了，我下次一定重仓，智光电气星期五时候喻哥说的，昨天也是大涨，，就等消息高点出货了。农业银行的转变点也已经了解的很清楚了！	
